original_row_index,doi,anion_name,composition_summary,cluster_id,conductivity,best_predicted_conductivity_ms_cm,best_abs_error_ms_cm,q_scale_opt,weighted_permittivity,weighted_viscosity_mpa_s_25c,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,temperature,anion_tfsi
233,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,11.15682029,9.03394902624458,2.122871263755421,0.7,46.05,1.245,46.05,1.245,310.3742654,1
234,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,11.83343644,9.175781139265853,2.657655300734147,0.7,46.05,1.245,46.05,1.245,312.99103,1
235,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,12.0437674,9.302186892407017,2.7415805075929836,0.7,46.05,1.245,46.05,1.245,314.2158985,1
236,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,12.46288277,9.419370581516327,3.043512188483673,0.7,46.05,1.245,46.05,1.245,316.3625116,1
237,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,12.88122487,9.490651244230985,3.390573625769015,0.7,46.05,1.245,46.05,1.245,318.3575626,1
238,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,13.24930405,9.6184499200235,3.6308541299765,0.7,46.05,1.245,46.05,1.245,320.5010826,1
239,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,13.41014538,9.727484133313762,3.682661246686237,0.7,46.05,1.245,46.05,1.245,322.0259821,1
240,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,14.20275286,10.756483742568275,3.4462691174317257,0.7,46.05,1.245,46.05,1.245,327.3770492,1
241,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,14.97757501,11.177467535291562,3.8001074747084385,0.7,46.05,1.245,46.05,1.245,329.2421899,1
242,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,15.08815342,11.496829593593272,3.591323826406727,0.7,46.05,1.245,46.05,1.245,330.9155583,1
243,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,15.24435509,11.611056036494531,3.6332990535054694,0.7,46.05,1.245,46.05,1.245,331.5310857,1
244,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,15.40287659,12.049154618368776,3.3537219716312237,0.7,46.05,1.245,46.05,1.245,332.6012991,1
245,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,15.50881534,12.26727160598065,3.2415437340193503,0.7,46.05,1.245,46.05,1.245,333.3652954,1
246,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,15.6147541,12.502745308518683,3.1120087914813173,0.7,46.05,1.245,46.05,1.245,334.1292917,1
247,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,15.87380142,12.842609233706517,3.0311921862934827,0.7,46.05,1.245,46.05,1.245,334.9025673,1
248,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,14.02618827,10.199070809518307,3.827117460481693,0.7,46.05,1.245,46.05,1.245,324.4370554,1
249,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,14.2478606,10.566041280029076,3.6818193199709235,0.7,46.05,1.245,46.05,1.245,326.2181668,1
11883,10.1149/2.0571912jes,PF6,EC:0.500+DMC:0.500,1,4.959,4.259221917964892,0.6997780820351078,0.7,46.05,1.245,23.16315,0.626235,263.15,0
11884,10.1149/2.0571912jes,PF6,EC:0.500+DMC:0.500,1,4.962,4.213180991994209,0.7488190080057908,0.7,46.05,1.245,46.18814999999999,1.2487349999999997,263.15,0
11885,10.1149/2.0571912jes,PF6,EC:0.500+DMC:0.500,1,2.955,2.896309961265625,0.05869003873437517,0.85,46.05,1.245,69.21314999999998,1.871235,263.15,0
11886,10.1149/2.0571912jes,PF6,EC:0.500+DMC:0.500,1,1.824,2.68360476233206,0.85960476233206,0.9,46.05,1.245,92.1,2.49,263.15,0
