source_row_number,original_row_index,doi,anion_name,composition_summary,criterion_name,features_used,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,cluster_id,row_status,valid_feature_position,best_k,best_candidate_k,best_silhouette_score,one_cluster_fallback_used
81,130,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",46.05,1.245,1,clustered,81,5,5,0.7972778726861223,False
82,131,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",46.05,1.245,1,clustered,82,5,5,0.7972778726861223,False
83,132,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",46.05,1.245,1,clustered,83,5,5,0.7972778726861223,False
84,133,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",46.05,1.245,1,clustered,84,5,5,0.7972778726861223,False
85,134,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",46.05,1.245,1,clustered,85,5,5,0.7972778726861223,False
86,135,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",46.05,1.245,1,clustered,86,5,5,0.7972778726861223,False
87,136,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",46.05,1.245,1,clustered,87,5,5,0.7972778726861223,False
88,137,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",46.05,1.245,1,clustered,88,5,5,0.7972778726861223,False
89,138,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",46.05,1.245,1,clustered,89,5,5,0.7972778726861223,False
90,139,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,saltconc_weightedperm_weightedvisc,"salt_conc_x_weighted_permittivity, salt_conc_x_weighted_viscosity",46.05,1.245,1,clustered,90,5,5,0.7972778726861223,False
