source_row_number,original_row_index,doi,anion_name,composition_summary,criterion_name,features_used,weighted_permittivity,weighted_viscosity_mPa_s_25C,cluster_id,row_status,valid_feature_position,best_k,best_candidate_k,best_silhouette_score,one_cluster_fallback_used
105,154,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,105,6,6,0.9448105888567919,False
106,155,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,106,6,6,0.9448105888567919,False
107,156,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,107,6,6,0.9448105888567919,False
108,157,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,108,6,6,0.9448105888567919,False
109,158,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,109,6,6,0.9448105888567919,False
110,159,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,110,6,6,0.9448105888567919,False
111,160,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,111,6,6,0.9448105888567919,False
112,161,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,112,6,6,0.9448105888567919,False
113,162,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,113,6,6,0.9448105888567919,False
114,163,10.1016/j.jpowsour.2011.07.071,PF6,EC:0.500+DMC:0.500,weightedperm_weightedvisc,"weighted_permittivity, weighted_viscosity_mPa_s_25C",46.05,1.245,1,clustered,114,6,6,0.9448105888567919,False
